q1,q2,q3,q4,phi,theta,psi,wx,wy,wz
0.12265,-0.17342,-0.60819,0.76485,-1.368,-0.11635,0.4129,-0.0008665,-0.0017494,-0.0051252
0.12053,-0.17382,-0.61885,0.7565,-1.3951,-0.11406,0.41163,-0.00088882,-0.0017344,-0.0051271
0.11838,-0.17414,-0.6294,0.74801,-1.4223,-0.11173,0.41019,-0.00091096,-0.001719,-0.0051291
0.11618,-0.17435,-0.63984,0.7394,-1.4494,-0.10937,0.40857,-0.00093291,-0.0017033,-0.005131
0.11395,-0.17447,-0.65017,0.73065,-1.4764,-0.10698,0.40677,-0.00095466,-0.0016871,-0.005133
0.11169,-0.17449,-0.66039,0.72178,-1.5035,-0.10456,0.4048,-0.00097621,-0.0016706,-0.0051351
0.10939,-0.17441,-0.67049,0.71279,-1.5305,-0.10211,0.40266,-0.00099755,-0.0016537,-0.0051371
0.10707,-0.17423,-0.68047,0.70367,-1.5575,-0.099645,0.40033,-0.0010187,-0.0016364,-0.0051392
0.10472,-0.17395,-0.69033,0.69442,-1.5845,-0.097156,0.39784,-0.0010396,-0.0016188,-0.0051413
0.10234,-0.17357,-0.70007,0.68506,-1.6114,-0.094651,0.39517,-0.0010603,-0.0016008,-0.0051434
0.099948,-0.17309,-0.70969,0.67557,-1.6384,-0.092131,0.39233,-0.0010808,-0.0015825,-0.0051455
0.097532,-0.17251,-0.71918,0.66597,-1.6653,-0.089601,0.38931,-0.001101,-0.0015637,-0.0051477
